innovation,dose,form,alternative_names,category,technology,disease,target_population,indication,archetype,phase_1_status,phase_1_date,phase_2_status,phase_2_date,phase_3_status,phase_3_date,phase_4_status,phase_4_date,trial_status,trial_status_notes,date_trial_status,kenya_nra,kenya_nra_date,senegal_nra,senegal_nra_date,south_africa_nra,south_africa_nra_date,other_nra,other_nra_date,nra_other_body,kenya_eml,kenya_eml_date,senegal_eml,senegal_eml_date,south_africa_eml,south_africa_eml_date,who_eml,who_eml_date,gra,gra_date,gra_body,gra_note,manufacturer,dalys,disease_prevalence,improvement,dalys_averted,deaths_averted,yll,hs_costs,dalys_monetized,prob_success,procurement,reg_approval,policy_readiness,social_context,guidelines,policy_implemented,date_market,country_supply,distribution,delivery_model,efficacy,date_proof_of_concept,date_proof_of_concept_observed_y_n,date_first_regulatory,date_first_regulatory_observed_y_n,date_first_launch,date_first_launch_observed_y_n,proj_date_first_regulatory,proj_date_first_regulatory_25,proj_date_first_regulatory_75,proj_date_first_launch,proj_date_first_launch_25,proj_date_first_launch_75,proj_date_lmic_20_uptake,proj_date_lmic_20_uptake_25,proj_date_lmic_20_uptake_75,readiness,financing,impact_potential,introduction_readiness,data_source
(Artesunate-Amodiaquine),NA,NA,ASAQ Winthrop,Therapeutic,Fixed-dose combination,Malaria,adult malaria,Treatment of severe malaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,No,2023-01-01,NA,NA,NA,NA,NA,NA,Yes,NA,NA,Under review for WHO PQ,NA,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-23,N,NA,N,2023-01-01,Y,2022-09-06,2022-11-07,2022-01-08,2023-01-01,NA,NA,2028-01-01,2026-07-02,2044-01-01,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease
(Artesunate-Amodiaquine),NA,NA,ASAQ Winthrop,Therapeutic,Fixed-dose combination,Malaria,adult malaria,Treatment of severe malaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,No,2022-01-01,NA,NA,NA,NA,Yes,NA,NA,Under review for WHO PQ,NA,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-23,N,NA,N,2022-01-01,Y,2021-09-06,2021-11-07,2021-01-08,2022-01-01,NA,NA,2027-01-01,2025-07-02,2043-01-01,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease
(Artesunate-Amodiaquine),NA,NA,ASAQ Winthrop,Therapeutic,Fixed-dose combination,Malaria,adult malaria,Treatment of severe malaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,No,2024-01-01,NA,NA,Yes,NA,NA,Under review for WHO PQ,NA,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-22,N,NA,N,2024-01-01,Y,2023-09-06,2023-11-07,2023-01-08,2024-01-01,NA,NA,2028-12-31,2027-07-02,2044-12-31,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease
(Artesunate-Amodiaquine),NA,NA,ASAQ Winthrop,Therapeutic,Fixed-dose combination,Malaria,adult malaria,Treatment of severe malaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Yes,NA,NA,Under review for WHO PQ,NA,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,N,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease
2GARD,NA,NA,2GARD,Vector-Controlled Products,Indoor Residual Spraying (IRS),Malaria,all ages malaria,Prevention and control of malaria in areas with ongoing malaria transmission.,NA,NA,NA,NA,NA,NA,NA,Completed,2021-11-18,Phase 4,NA,2021-11-18,No,NA,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2021-11-18,WHO_PQ,NA,Tagros Chemicals India Ltd,55000000,250000000,NA,NA,NA,NA,45.8,NA,69.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-11-18,Y,2021-11-18,Y,2021-11-18,Y,2021-11-18,2022-06-10,2026-04-16,2021-11-18,2022-08-04,2027-04-09,2026-11-18,2026-02-02,2048-04-08,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease
3D power doppler (3DPD),NA,NA,NA,Diagnostic,NA,MNCH,pregnancy,Intrauterine growth restriction (IUGR),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-23,N,NA,N,2023-01-01,Y,2022-09-06,2022-11-07,2022-01-08,2023-01-01,NA,NA,2028-01-01,2026-07-02,2044-01-01,NA,NA,NA,NA,NA
3D power doppler (3DPD),NA,NA,NA,Diagnostic,NA,MNCH,pregnancy,Intrauterine growth restriction (IUGR),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-23,N,NA,N,2022-01-01,Y,2021-09-06,2021-11-07,2021-01-08,2022-01-01,NA,NA,2027-01-01,2025-07-02,2043-01-01,NA,NA,NA,NA,NA
3D power doppler (3DPD),NA,NA,NA,Diagnostic,NA,MNCH,pregnancy,Intrauterine growth restriction (IUGR),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-01-01,NA,NA,NA,NA,NA,NA,NA,45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-22,N,NA,N,2024-01-01,Y,2023-09-06,2023-11-07,2023-01-08,2024-01-01,NA,NA,2028-12-31,2027-07-02,2044-12-31,NA,NA,NA,NA,NA
3D power doppler (3DPD),NA,NA,NA,Diagnostic,NA,MNCH,pregnancy,Intrauterine growth restriction (IUGR),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,N,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABBOTT Prism HIV O Plus assay,NA,NA,Abbott Prism HIV,Diagnostic,Chemiluminescent immunoassay (ChLIA)¬†,HIV,all ages HIV,"To screen for or to aid in or to confirm the diagnosis of HIV infection: adults, adolescents, children and infants >  18 months of age",Diagnostics — Assay development,NA,NA,NA,NA,Completed,2011-12-28,NA,NA,Phase 3,NA,2011-12-28,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-12-28,Y,NA,N,2023-01-01,Y,2014-08-10,2012-07-19,2016-05-25,2023-01-01,2012-09-12,2017-05-18,2028-01-01,2016-03-13,2038-05-18,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease
