innovation,dose,form,alternative_names,category,technology,disease,target_population,indication,archetype,phase_1_status,phase_1_date,phase_2_status,phase_2_date,phase_3_status,phase_3_date,phase_4_status,phase_4_date,trial_status,trial_status_notes,date_trial_status,kenya_nra,kenya_nra_date,senegal_nra,senegal_nra_date,south_africa_nra,south_africa_nra_date,other_nra,other_nra_date,nra_other_body,kenya_eml,kenya_eml_date,senegal_eml,senegal_eml_date,south_africa_eml,south_africa_eml_date,who_eml,who_eml_date,gra,gra_date,gra_body,gra_note,manufacturer,dalys,disease_prevalence,improvement,dalys_averted,deaths_averted,yll,hs_costs,dalys_monetized,prob_success,procurement,reg_approval,policy_readiness,social_context,guidelines,policy_implemented,date_market,country_supply,distribution,delivery_model,efficacy,date_proof_of_concept,date_first_regulatory,date_first_launch,proj_date_first_regulatory,proj_date_first_launch,proj_date_lmic_20_uptake,readiness,financing,impact_potential,introduction_readiness,data_source
Abacavir / Lamivudine / Lopinavir / Ritonavir,NA,NA,(ABC/3TC/LPV/r)-4-in-1,Completed,Completed,Completed,Completed,Completed,Completed,Completed,,Completed,6/7/19,NA,NA,NA,NA,Phase 2,NA,6/7/19,No,NA,No,NA,No,NA,NA,NA,NA,Yes,2023,No,2022,Yes,2024,Yes,NA,No,NA,NA,NA,NA,8000000,1400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/7/19,NA,NA,1/18/22,5/15/22,5/16/27,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease
Allylestrenol,NA,NA,NA,Therapeutic,Small Molecule,MNCH,pregnancy,Prevention of Preterm labour/birth (PTL/PTB),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,No,NA,NA,NA,NA,No,2023,No,2022,No,2024,No,NA,No,NA,NA,NA,NA,25000000,39400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease
Annovera,103mg Segesterone acetate (SA) and 17.4mg ethinyl estradiol (EE),Vaginal ring,NA,Medical device,silicone elastomer vaginal system,MNCH,Contraceptive,Contraception,NA,NA,NA,NA,NA,NA,NA,NA,NA,Phase 4,NA,8/10/18,No,NA,No,NA,NA,NA,NA,NA,NA,No,2023,No,2022,No,2024,No,NA,Yes,8/10/18,US_FDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/10/18,8/10/18,8/10/18,8/10/18,8/10/18,8/10/23,NA,NA,NA,NA,NA
Azvudine,NA,NA,FNC,Therapeutic,Small Molecule,HIV,all ages HIV,Treatment of HIV,NA,NA,NA,NA,NA,Completed,3/11/20,NA,NA,Phase 3,NA,3/11/20,No,NA,No,NA,No,NA,NA,NA,NA,No,2023,No,2022,No,2024,No,NA,No,NA,NA,NA,NA,33000000,40800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/11/20,NA,NA,10/23/22,2/17/23,2/18/28,NA,NA,NA,NA,NA
BNT164A1,NA,NA,NA,Vaccine,mRNA vaccine in lipid nanoparticles (mRNA:LNP),Tuberculosis,adult TB,Prevention of tuberculosis,Diagnostics — Assay development,NA,NA,Completed,1/13/26,NA,NA,NA,NA,Phase 2,NA,1/13/26,No,NA,No,NA,No,NA,NA,NA,NA,No,2023,No,2022,No,2024,No,NA,No,NA,NA,NA,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/13/26,NA,NA,8/26/28,12/21/28,12/22/33,NA,NA,NA,NA,NA
GS-1720 and GS-4182,NA,NA,NA,Therapeutic,Small Molecule,HIV,adult HIV,Treatment of HIV,NA,,,,,,,,,Phase 3,Halted,1/5/26,No,NA,No,NA,No,NA,NA,NA,NA,No,2023,No,2022,No,2024,No,NA,No,NA,NA,NA,Gilead Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHADOX1.85A+MVA85A,NA,NA,NA,Vaccine,simian adenoviral vector,Tuberculosis,all age TB,Prevention of tuberculosis,NA,NA,NA,Completed,8/5/22,NA,NA,NA,NA,Phase 2,NA,8/5/22,No,NA,No,NA,No,NA,NA,NA,NA,No,2023,No,2022,No,2024,No,NA,No,NA,NA,NA,Apacor,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/5/22,NA,NA,3/18/25,7/13/25,7/14/30,NA,NA,NA,NA,NA
CYVAC,NA,vial,R21/Matrix-M1,Vaccine,"Recombinant, adjuvanted",Malaria,Newborns and infants,Prevention of Plasmodium falciparum malaria. ,NA,NA,NA,NA,NA,NA,NA,Completed,12/19/23,Phase 4,NA,12/19/23,No,NA,No,NA,No,NA,NA,NA,NA,No,2023,No,2022,No,2024,No,NA,Yes,12/19/23,WHO_PQ,NA,Serum Institute of India Pvt. Ltd.,28000000,9000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/19/23,12/19/23,12/19/23,12/19/23,12/19/23,12/18/28,NA,NA,NA,NA,NA
Cabotegravir,600mg/3ml,Injectable,CAB-LA (600mg/3mL vials),Therapeutic,Long-acting injectable antiretroviral depot,HIV,all ages HIV,Pre-Exposure Prophylaxis (PrEP),NA,NA,NA,Completed,NA,Completed,10/10/25,NA,NA,Phase 3,Phase 2 and 3,10/10/25,No,NA,No,NA,Yes,NA,NA,NA,NA,Yes,2023,No,2022,No,2024,No,NA,Yes,NA,NA,NA,Anatolia Geneworks,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/10/25,NA,NA,5/23/28,9/17/28,9/18/33,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease
Clesrovimab-cfor,NA,NA,MK-1654 or ENFLONSIA,Therapeutic,Long-acting monoclonal antibody,MNCH,Newborns and infants,Prevention of respiratory syncytial virus (RSV) lower respiratory tract disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,Phase 4,NA,7/17/23,No,NA,No,NA,No,NA,NA,NA,NA,No,2023,No,2022,No,2024,No,NA,Yes,7/17/23,US_FDA,NA,NA,45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/17/23,7/17/23,7/17/23,7/17/23,7/17/23,7/16/28,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease
