innovation,eml,scope,disease,eml_date,nra,nra_date,gra,gra_date,gra_body,dose,form,alternative_names,category,technology,target_population,indication,archetype,phase_1_status,phase_1_date,phase_2_status,phase_2_date,phase_3_status,phase_3_date,phase_4_status,phase_4_date,trial_status,trial_status_notes,date_trial_status,manufacturer,dalys,disease_prevalence,improvement,dalys_averted,deaths_averted,yll,hs_costs,dalys_monetized,prob_success,procurement,reg_approval,policy_readiness,social_context,guidelines,policy_implemented,date_market,country_supply,distribution,delivery_model,efficacy,date_proof_of_concept,date_first_regulatory,date_first_launch,proj_date_first_regulatory,proj_date_first_launch,proj_date_lmic_20_uptake,readiness,financing,impact_potential,introduction_readiness,data_source,date_proof_of_concept_observed_y_n,date_first_regulatory_observed_y_n,date_first_launch_observed_y_n,proj_date_first_regulatory_25,proj_date_first_regulatory_75,proj_date_first_launch_25,proj_date_first_launch_75,proj_date_lmic_20_uptake_25,proj_date_lmic_20_uptake_75
(Artesunate-Amodiaquine),No,Kenya,Malaria,2023-01-01,No,NA,Yes,NA,NA,NA,NA,ASAQ Winthrop,Therapeutic,Fixed-dose combination,adult malaria,Treatment of severe malaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-23,NA,2023-01-01,2022-09-06,2023-01-01,2028-01-01,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,N,N,Y,2022-11-07,2022-01-08,NA,NA,2026-07-02,2044-01-01
(Artesunate-Amodiaquine),No,Senegal,Malaria,2022-01-01,Yes,NA,Yes,NA,NA,NA,NA,ASAQ Winthrop,Therapeutic,Fixed-dose combination,adult malaria,Treatment of severe malaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-23,NA,2022-01-01,2021-09-06,2022-01-01,2027-01-01,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,N,N,Y,2021-11-07,2021-01-08,NA,NA,2025-07-02,2043-01-01
(Artesunate-Amodiaquine),No,South Africa,Malaria,2024-01-01,No,NA,Yes,NA,NA,NA,NA,ASAQ Winthrop,Therapeutic,Fixed-dose combination,adult malaria,Treatment of severe malaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-22,NA,2024-01-01,2023-09-06,2024-01-01,2028-12-31,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,N,N,Y,2023-11-07,2023-01-08,NA,NA,2027-07-02,2044-12-31
(Artesunate-Amodiaquine),Yes,WHO,Malaria,NA,NA,NA,Yes,NA,NA,NA,NA,ASAQ Winthrop,Therapeutic,Fixed-dose combination,adult malaria,Treatment of severe malaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,N,N,N,NA,NA,NA,NA,NA,NA
2GARD,NA,Kenya,Malaria,NA,No,NA,Yes,2021-11-18,WHO_PQ,NA,NA,2GARD,Vector-Controlled Products,Indoor Residual Spraying (IRS),all ages malaria,Prevention and control of malaria in areas with ongoing malaria transmission.,NA,NA,NA,NA,NA,NA,NA,Completed,2021-11-18,Phase 4,NA,2021-11-18,Tagros Chemicals India Ltd,55000000,250000000,NA,NA,NA,NA,45.8,NA,69.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-11-18,2021-11-18,2021-11-18,2021-11-18,2021-11-18,2026-11-18,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,Y,Y,Y,2022-06-10,2026-04-16,2022-08-04,2027-04-09,2026-02-02,2048-04-08
2GARD,NA,Senegal,Malaria,NA,No,NA,Yes,2021-11-18,WHO_PQ,NA,NA,2GARD,Vector-Controlled Products,Indoor Residual Spraying (IRS),all ages malaria,Prevention and control of malaria in areas with ongoing malaria transmission.,NA,NA,NA,NA,NA,NA,NA,Completed,2021-11-18,Phase 4,NA,2021-11-18,Tagros Chemicals India Ltd,55000000,250000000,NA,NA,NA,NA,45.8,NA,69.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-11-18,2021-11-18,2021-11-18,2021-11-18,2021-11-18,2026-11-18,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,Y,Y,Y,2022-06-10,2026-04-16,2022-08-04,2027-04-09,2026-02-02,2048-04-08
2GARD,NA,South Africa,Malaria,NA,No,NA,Yes,2021-11-18,WHO_PQ,NA,NA,2GARD,Vector-Controlled Products,Indoor Residual Spraying (IRS),all ages malaria,Prevention and control of malaria in areas with ongoing malaria transmission.,NA,NA,NA,NA,NA,NA,NA,Completed,2021-11-18,Phase 4,NA,2021-11-18,Tagros Chemicals India Ltd,55000000,250000000,NA,NA,NA,NA,45.8,NA,69.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-11-18,2021-11-18,2021-11-18,2021-11-18,2021-11-18,2026-11-18,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,Y,Y,Y,2022-06-10,2026-04-16,2022-08-04,2027-04-09,2026-02-02,2048-04-08
2GARD,NA,WHO,Malaria,NA,NA,NA,Yes,2021-11-18,WHO_PQ,NA,NA,2GARD,Vector-Controlled Products,Indoor Residual Spraying (IRS),all ages malaria,Prevention and control of malaria in areas with ongoing malaria transmission.,NA,NA,NA,NA,NA,NA,NA,Completed,2021-11-18,Phase 4,NA,2021-11-18,Tagros Chemicals India Ltd,55000000,250000000,NA,NA,NA,NA,45.8,NA,69.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-11-18,2021-11-18,2021-11-18,2021-11-18,2021-11-18,2026-11-18,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,Y,Y,Y,2022-06-10,2026-04-16,2022-08-04,2027-04-09,2026-02-02,2048-04-08
3D power doppler (3DPD),NA,Kenya,MNCH,2023-01-01,No,NA,NA,NA,NA,NA,NA,NA,Diagnostic,NA,pregnancy,Intrauterine growth restriction (IUGR),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-23,NA,2023-01-01,2022-09-06,2023-01-01,2028-01-01,NA,NA,NA,NA,NA,N,N,Y,2022-11-07,2022-01-08,NA,NA,2026-07-02,2044-01-01
3D power doppler (3DPD),NA,Senegal,MNCH,2022-01-01,No,NA,NA,NA,NA,NA,NA,NA,Diagnostic,NA,pregnancy,Intrauterine growth restriction (IUGR),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-23,NA,2022-01-01,2021-09-06,2022-01-01,2027-01-01,NA,NA,NA,NA,NA,N,N,Y,2021-11-07,2021-01-08,NA,NA,2025-07-02,2043-01-01
3D power doppler (3DPD),NA,South Africa,MNCH,2024-01-01,NA,NA,NA,NA,NA,NA,NA,NA,Diagnostic,NA,pregnancy,Intrauterine growth restriction (IUGR),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-22,NA,2024-01-01,2023-09-06,2024-01-01,2028-12-31,NA,NA,NA,NA,NA,N,N,Y,2023-11-07,2023-01-08,NA,NA,2027-07-02,2044-12-31
3D power doppler (3DPD),NA,WHO,MNCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diagnostic,NA,pregnancy,Intrauterine growth restriction (IUGR),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,NA,NA,NA,NA
ABBOTT Prism HIV O Plus assay,NA,Kenya,HIV,2023-01-01,No,NA,NA,NA,NA,NA,NA,Abbott Prism HIV,Diagnostic,Chemiluminescent immunoassay (ChLIA)¬†,all ages HIV,"To screen for or to aid in or to confirm the diagnosis of HIV infection: adults, adolescents, children and infants >  18 months of age",Diagnostics — Assay development,NA,NA,NA,NA,Completed,2011-12-28,NA,NA,Phase 3,NA,2011-12-28,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-12-28,NA,2023-01-01,2014-08-10,2023-01-01,2028-01-01,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,Y,N,Y,2012-07-19,2016-05-25,2012-09-12,2017-05-18,2016-03-13,2038-05-18
ABBOTT Prism HIV O Plus assay,NA,Senegal,HIV,2022-01-01,No,NA,NA,NA,NA,NA,NA,Abbott Prism HIV,Diagnostic,Chemiluminescent immunoassay (ChLIA)¬†,all ages HIV,"To screen for or to aid in or to confirm the diagnosis of HIV infection: adults, adolescents, children and infants >  18 months of age",Diagnostics — Assay development,NA,NA,NA,NA,Completed,2011-12-28,NA,NA,Phase 3,NA,2011-12-28,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-12-28,NA,2022-01-01,2014-08-10,2022-01-01,2027-01-01,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,Y,N,Y,2012-07-19,2016-05-25,2012-09-12,2017-05-18,2016-03-13,2038-05-18
ABBOTT Prism HIV O Plus assay,NA,South Africa,HIV,2024-01-01,NA,NA,NA,NA,NA,NA,NA,Abbott Prism HIV,Diagnostic,Chemiluminescent immunoassay (ChLIA)¬†,all ages HIV,"To screen for or to aid in or to confirm the diagnosis of HIV infection: adults, adolescents, children and infants >  18 months of age",Diagnostics — Assay development,NA,NA,NA,NA,Completed,2011-12-28,NA,NA,Phase 3,NA,2011-12-28,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-12-28,NA,2024-01-01,2014-08-10,2024-01-01,2028-12-31,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,Y,N,Y,2012-07-19,2016-05-25,2012-09-12,2017-05-18,2016-03-13,2038-05-18
ABBOTT Prism HIV O Plus assay,NA,WHO,HIV,NA,NA,NA,NA,NA,NA,NA,NA,Abbott Prism HIV,Diagnostic,Chemiluminescent immunoassay (ChLIA)¬†,all ages HIV,"To screen for or to aid in or to confirm the diagnosis of HIV infection: adults, adolescents, children and infants >  18 months of age",Diagnostics — Assay development,NA,NA,NA,NA,Completed,2011-12-28,NA,NA,Phase 3,NA,2011-12-28,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-12-28,NA,NA,2014-08-10,2014-12-05,2019-12-06,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,Y,N,N,2012-07-19,2016-05-25,2012-09-12,2017-05-18,2016-03-13,2038-05-18
ABBV-382,No,Kenya,HIV,2023-01-01,No,NA,No,NA,NA,NA,NA,NA,Therapeutic,Small Molecule,adult HIV,Treatment of HIV,New Chemical Entity,Completed,2024-03-04,NA,NA,NA,NA,NA,NA,Phase 1,Completed,2024-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-23,NA,2023-01-01,2022-09-06,2023-01-01,2028-01-01,NA,NA,NA,NA,NA,N,N,Y,2022-11-07,2022-01-08,NA,NA,2026-07-02,2044-01-01
ABBV-382,No,Senegal,HIV,2022-01-01,No,NA,No,NA,NA,NA,NA,NA,Therapeutic,Small Molecule,adult HIV,Treatment of HIV,New Chemical Entity,Completed,2024-03-04,NA,NA,NA,NA,NA,NA,Phase 1,Completed,2024-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-23,NA,2022-01-01,2021-09-06,2022-01-01,2027-01-01,NA,NA,NA,NA,NA,N,N,Y,2021-11-07,2021-01-08,NA,NA,2025-07-02,2043-01-01
ABBV-382,No,South Africa,HIV,2024-01-01,No,NA,No,NA,NA,NA,NA,NA,Therapeutic,Small Molecule,adult HIV,Treatment of HIV,New Chemical Entity,Completed,2024-03-04,NA,NA,NA,NA,NA,NA,Phase 1,Completed,2024-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-22,NA,2024-01-01,2023-09-06,2024-01-01,2028-12-31,NA,NA,NA,NA,NA,N,N,Y,2023-11-07,2023-01-08,NA,NA,2027-07-02,2044-12-31
ABBV-382,NA,WHO,HIV,NA,NA,NA,No,NA,NA,NA,NA,NA,Therapeutic,Small Molecule,adult HIV,Treatment of HIV,New Chemical Entity,Completed,2024-03-04,NA,NA,NA,NA,NA,NA,Phase 1,Completed,2024-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,NA,NA,NA,NA
ABON HIV 1/2/O,NA,Kenya,HIV,2023-01-01,No,NA,Yes,NA,WHO PQ,NA,NA,NA,Diagnostic,Immunochromatographic lateral-flow rapid diagnostic test (RDT),all ages HIV,"To screen for or to aid in the diagnosis of HIV infection: adults, adolescents, children and infants > 18 months of age",Diagnostics — Assay development,NA,NA,NA,NA,NA,NA,Completed,NA,Phase 4,NA,NA,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-23,NA,2023-01-01,2022-09-06,2023-01-01,2028-01-01,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,N,N,Y,2022-11-07,2022-01-08,NA,NA,2026-07-02,2044-01-01
ABON HIV 1/2/O,NA,Senegal,HIV,2022-01-01,No,NA,Yes,NA,WHO PQ,NA,NA,NA,Diagnostic,Immunochromatographic lateral-flow rapid diagnostic test (RDT),all ages HIV,"To screen for or to aid in the diagnosis of HIV infection: adults, adolescents, children and infants > 18 months of age",Diagnostics — Assay development,NA,NA,NA,NA,NA,NA,Completed,NA,Phase 4,NA,NA,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-23,NA,2022-01-01,2021-09-06,2022-01-01,2027-01-01,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,N,N,Y,2021-11-07,2021-01-08,NA,NA,2025-07-02,2043-01-01
ABON HIV 1/2/O,NA,South Africa,HIV,2024-01-01,NA,NA,Yes,NA,WHO PQ,NA,NA,NA,Diagnostic,Immunochromatographic lateral-flow rapid diagnostic test (RDT),all ages HIV,"To screen for or to aid in the diagnosis of HIV infection: adults, adolescents, children and infants > 18 months of age",Diagnostics — Assay development,NA,NA,NA,NA,NA,NA,Completed,NA,Phase 4,NA,NA,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-22,NA,2024-01-01,2023-09-06,2024-01-01,2028-12-31,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,N,N,Y,2023-11-07,2023-01-08,NA,NA,2027-07-02,2044-12-31
ABON HIV 1/2/O,NA,WHO,HIV,NA,NA,NA,Yes,NA,WHO PQ,NA,NA,NA,Diagnostic,Immunochromatographic lateral-flow rapid diagnostic test (RDT),all ages HIV,"To screen for or to aid in the diagnosis of HIV infection: adults, adolescents, children and infants > 18 months of age",Diagnostics — Assay development,NA,NA,NA,NA,NA,NA,Completed,NA,Phase 4,NA,NA,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,N,N,N,NA,NA,NA,NA,NA,NA
ADVIA Centaur HIV 1/O/2 Rapid Test,NA,Kenya,HIV,2023-01-01,No,NA,NA,NA,NA,NA,NA,NA,Diagnostic,in vitro diagnostic immunoassay,all ages HIV,Diagnosis of infection with HIV-1 and HIV-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Advy Chemical Pvt. Ltd,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-23,NA,2023-01-01,2022-09-06,2023-01-01,2028-01-01,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,N,N,Y,2022-11-07,2022-01-08,NA,NA,2026-07-02,2044-01-01
ADVIA Centaur HIV 1/O/2 Rapid Test,NA,Senegal,HIV,2022-01-01,No,NA,NA,NA,NA,NA,NA,NA,Diagnostic,in vitro diagnostic immunoassay,all ages HIV,Diagnosis of infection with HIV-1 and HIV-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Advy Chemical Pvt. Ltd,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-23,NA,2022-01-01,2021-09-06,2022-01-01,2027-01-01,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,N,N,Y,2021-11-07,2021-01-08,NA,NA,2025-07-02,2043-01-01
ADVIA Centaur HIV 1/O/2 Rapid Test,NA,South Africa,HIV,2024-01-01,NA,NA,NA,NA,NA,NA,NA,NA,Diagnostic,in vitro diagnostic immunoassay,all ages HIV,Diagnosis of infection with HIV-1 and HIV-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Advy Chemical Pvt. Ltd,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-22,NA,2024-01-01,2023-09-06,2024-01-01,2028-12-31,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,N,N,Y,2023-11-07,2023-01-08,NA,NA,2027-07-02,2044-12-31
ADVIA Centaur HIV 1/O/2 Rapid Test,NA,WHO,HIV,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diagnostic,in vitro diagnostic immunoassay,all ages HIV,Diagnosis of infection with HIV-1 and HIV-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Advy Chemical Pvt. Ltd,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,N,N,N,NA,NA,NA,NA,NA,NA
ADVIA Centaur HIV Ag/Ab Combo (CHIV) Assay,NA,Kenya,HIV,2023-01-01,No,NA,NA,NA,NA,NA,NA,NA,Diagnostic,in vitro diagnostic immunoassay,all ages HIV,Diagnosis of infection with HIV-1 and HIV-2,Diagnostics — Assay development,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-23,NA,2023-01-01,2022-09-06,2023-01-01,2028-01-01,NA,NA,NA,NA,https://boditech.co.kr/en,N,N,Y,2022-11-07,2022-01-08,NA,NA,2026-07-02,2044-01-01
ADVIA Centaur HIV Ag/Ab Combo (CHIV) Assay,NA,Senegal,HIV,2022-01-01,No,NA,NA,NA,NA,NA,NA,NA,Diagnostic,in vitro diagnostic immunoassay,all ages HIV,Diagnosis of infection with HIV-1 and HIV-2,Diagnostics — Assay development,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-23,NA,2022-01-01,2021-09-06,2022-01-01,2027-01-01,NA,NA,NA,NA,https://boditech.co.kr/en,N,N,Y,2021-11-07,2021-01-08,NA,NA,2025-07-02,2043-01-01
ADVIA Centaur HIV Ag/Ab Combo (CHIV) Assay,NA,South Africa,HIV,2024-01-01,NA,NA,NA,NA,NA,NA,NA,NA,Diagnostic,in vitro diagnostic immunoassay,all ages HIV,Diagnosis of infection with HIV-1 and HIV-2,Diagnostics — Assay development,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-22,NA,2024-01-01,2023-09-06,2024-01-01,2028-12-31,NA,NA,NA,NA,https://boditech.co.kr/en,N,N,Y,2023-11-07,2023-01-08,NA,NA,2027-07-02,2044-12-31
ADVIA Centaur HIV Ag/Ab Combo (CHIV) Assay,NA,WHO,HIV,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diagnostic,in vitro diagnostic immunoassay,all ages HIV,Diagnosis of infection with HIV-1 and HIV-2,Diagnostics — Assay development,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://boditech.co.kr/en,N,N,N,NA,NA,NA,NA,NA,NA
AEC/BC02,No,Kenya,Tuberculosis,2023-01-01,No,NA,NA,NA,NA,NA,NA,NA,Vaccine,lyophilized recombinant tuberculosis vaccine,all age TB,Prevention of mycobacterium tuberculosis,Diagnostics — Assay development,NA,NA,Suspended,2023-11-28,NA,NA,NA,NA,Phase 2,NA,2023-11-28,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-28,NA,2023-01-01,2026-07-11,2023-01-01,2028-01-01,NA,NA,NA,NA,"https://sctimst.ac.in

https://www.impactglobalhealth.org/data/infectious-disease",Y,N,Y,2024-06-19,2028-04-25,2024-08-13,2029-04-18,2028-02-12,2050-04-18
AEC/BC02,NA,Senegal,Tuberculosis,2022-01-01,No,NA,NA,NA,NA,NA,NA,NA,Vaccine,lyophilized recombinant tuberculosis vaccine,all age TB,Prevention of mycobacterium tuberculosis,Diagnostics — Assay development,NA,NA,Suspended,2023-11-28,NA,NA,NA,NA,Phase 2,NA,2023-11-28,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-28,NA,2022-01-01,2026-07-11,2022-01-01,2027-01-01,NA,NA,NA,NA,"https://sctimst.ac.in

https://www.impactglobalhealth.org/data/infectious-disease",Y,N,Y,2024-06-19,2028-04-25,2024-08-13,2029-04-18,2028-02-12,2050-04-18
AEC/BC02,No,South Africa,Tuberculosis,2024-01-01,No,NA,NA,NA,NA,NA,NA,NA,Vaccine,lyophilized recombinant tuberculosis vaccine,all age TB,Prevention of mycobacterium tuberculosis,Diagnostics — Assay development,NA,NA,Suspended,2023-11-28,NA,NA,NA,NA,Phase 2,NA,2023-11-28,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-28,NA,2024-01-01,2026-07-11,2024-01-01,2028-12-31,NA,NA,NA,NA,"https://sctimst.ac.in

https://www.impactglobalhealth.org/data/infectious-disease",Y,N,Y,2024-06-19,2028-04-25,2024-08-13,2029-04-18,2028-02-12,2050-04-18
AEC/BC02,No,WHO,Tuberculosis,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaccine,lyophilized recombinant tuberculosis vaccine,all age TB,Prevention of mycobacterium tuberculosis,Diagnostics — Assay development,NA,NA,Suspended,2023-11-28,NA,NA,NA,NA,Phase 2,NA,2023-11-28,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-28,NA,NA,2026-07-11,2026-11-05,2031-11-06,NA,NA,NA,NA,"https://sctimst.ac.in

https://www.impactglobalhealth.org/data/infectious-disease",Y,N,N,2024-06-19,2028-04-25,2024-08-13,2029-04-18,2028-02-12,2050-04-18
