Innovation,Disease,Category,Stage,Readiness,LeadOrg,Impact Score,Country,Introduction Readiness,Impact Potential,TargetPop
INV-001,Malaria,Vaccines,Phase III,85,GSK,8.7,Kenya,70,60,Children
INV-002,Tuberculosis,Diagnostics,Post-Market Surveillance,90,Cepheid,7.5,South Africa,80,70,All
INV-003,HIV,Drugs,Phase II,65,Gilead,6.5,South Africa,50,40,Adults
INV-004,Preeclampsia,Devices,Implementation Ready,95,MaternalCare Inc,9.2,Kenya,90,80,Women
INV-005,Diabetes,Drugs,Phase III,80,Novo Nordisk,8.2,South Africa,65,55,Adults
INV-006,Cholera,Vaccines,Stockpiled,98,Sanofi,9.5,Senegal,95,90,All
INV-007,COVID-19,Diagnostics,Post-Market Surveillance,90,Abbott,7.8,Kenya,85,70,All
INV-008,Anemia,Nutrition,Implementation Ready,92,UNICEF,9.0,Senegal,88,82,Children
INV-009,Lower Respiratory Infections,Drugs,Phase II,70,Pfizer,7.0,Kenya,60,50,Elderly
INV-010,Hepatitis B,Vaccines,Phase III,85,Merck,8.5,South Africa,70,60,Adults
INV-011,Cervical Cancer,Vaccines,Phase III,88,MSD,9.1,Senegal,75,80,Women
INV-012,Dengue,Vaccines,Phase II,75,Takeda,7.9,Kenya,60,65,All
INV-013,Sickle Cell Disease,Drugs,Phase I,50,Novartis,6.0,Senegal,40,50,Children
INV-014,Trachoma,Drugs,Post-Market Surveillance,95,Pfizer,8.8,Kenya,90,85,All
INV-015,Yellow Fever,Vaccines,Stockpiled,99,Sanofi,9.8,Senegal,98,95,All
